Set1;Set2
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,7,9];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,5,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,7,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,19]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,5,5,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,17]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,7,15];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,9,13]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,11,11];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,5,5,5,5]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,5,15];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,7,13]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,9,11];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,7,7,11]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,7,9,9];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,25]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,5,13];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,7,11]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,9,9];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,7,7,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,23];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,7,7,7,7]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,7,21];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,9,19]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,11,17];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,13,15]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,11];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,7,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,7,7,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,21]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,7,19];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,9,17]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,11,15];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,13,13]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,7,7,17];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,7,9,15]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,7,11,13];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,9,9,13]
[1,1,1,1,1,1,1,1,1,1,1,1,1,3,9,11,11];[1,1,1,1,1,1,1,1,1,1,1,1,1,3,31]
[1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,9];[1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,7,7]
[1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,19];[1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,7,17]
[1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,9,15];[1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,11,13]
[1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,7,15];[1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,9,13]
[1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,11,11];[1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,11]
[1,1,1,1,1,1,1,1,1,1,1,1,1,5,29];[1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,13]
[1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,9,11];[1,1,1,1,1,1,1,1,1,1,1,1,1,7,9,9,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,7,27];[1,1,1,1,1,1,1,1,1,1,1,1,1,9,25]
[1,1,1,1,1,1,1,1,1,1,1,1,1,11,23];[1,1,1,1,1,1,1,1,1,1,1,1,1,13,21]
[1,1,1,1,1,1,1,1,1,1,1,1,1,15,19];[1,1,1,1,1,1,1,1,1,1,1,1,1,17,17]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,5];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,11]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,9];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,7,7]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,5,5,7];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,17]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,5,5,5];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,15]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,7,13];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,9,11]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,5,13];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,7,11]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,9,9];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,7,7,9]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,23];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,5,5,11]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,5,7,9];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,7,7,7]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,21];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,7,19]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,9,17];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,11,15]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,13,13];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,5,5,9]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,5,7,7];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,19]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,7,17];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,9,15]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,11,13];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,7,7,15]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,7,9,13];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,7,11,11]
[1,1,1,1,1,1,1,1,1,1,1,1,3,3,9,9,11];[1,1,1,1,1,1,1,1,1,1,1,1,3,3,29]
[1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,7];[1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,17]
[1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,7,15];[1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,9,13]
[1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,11,11];[1,1,1,1,1,1,1,1,1,1,1,1,3,5,7,7,13]
[1,1,1,1,1,1,1,1,1,1,1,1,3,5,7,9,11];[1,1,1,1,1,1,1,1,1,1,1,1,3,5,9,9,9]
[1,1,1,1,1,1,1,1,1,1,1,1,3,5,27];[1,1,1,1,1,1,1,1,1,1,1,1,3,7,7,7,11]
[1,1,1,1,1,1,1,1,1,1,1,1,3,7,7,9,9];[1,1,1,1,1,1,1,1,1,1,1,1,3,7,25]
[1,1,1,1,1,1,1,1,1,1,1,1,3,9,23];[1,1,1,1,1,1,1,1,1,1,1,1,3,11,21]
[1,1,1,1,1,1,1,1,1,1,1,1,3,13,19];[1,1,1,1,1,1,1,1,1,1,1,1,3,15,17]
[1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5];[1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,15]
[1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,7,13];[1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,9,11]
[1,1,1,1,1,1,1,1,1,1,1,1,5,5,7,7,11];[1,1,1,1,1,1,1,1,1,1,1,1,5,5,7,9,9]
[1,1,1,1,1,1,1,1,1,1,1,1,5,5,25];[1,1,1,1,1,1,1,1,1,1,1,1,5,7,7,7,9]
[1,1,1,1,1,1,1,1,1,1,1,1,5,7,23];[1,1,1,1,1,1,1,1,1,1,1,1,5,9,21]
[1,1,1,1,1,1,1,1,1,1,1,1,5,11,19];[1,1,1,1,1,1,1,1,1,1,1,1,5,13,17]
[1,1,1,1,1,1,1,1,1,1,1,1,5,15,15];[1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7]
[1,1,1,1,1,1,1,1,1,1,1,1,7,7,21];[1,1,1,1,1,1,1,1,1,1,1,1,7,9,19]
[1,1,1,1,1,1,1,1,1,1,1,1,7,11,17];[1,1,1,1,1,1,1,1,1,1,1,1,7,13,15]
[1,1,1,1,1,1,1,1,1,1,1,1,9,9,17];[1,1,1,1,1,1,1,1,1,1,1,1,9,11,15]
[1,1,1,1,1,1,1,1,1,1,1,1,9,13,13];[1,1,1,1,1,1,1,1,1,1,1,1,11,11,13]
[1,1,1,1,1,1,1,1,1,1,1,1,35];[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3]
[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,9];[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,5,7]
[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5];[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,15]
[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,5,13];[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,7,11]
[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,9,9];[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,5,11]
[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,7,9];[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,7,7,7]
[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,21];[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,5,5,9]
[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,5,7,7];[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,19]
[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,7,17];[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,9,15]
[1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,11,13];[1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,5,5,5,7]
[1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,5,17];[1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,7,15]
[1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,9,13];[1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,11,11]
[1,1,1,1,1,1,1,1,1,1,1,3,3,3,7,7,13];[1,1,1,1,1,1,1,1,1,1,1,3,3,3,7,9,11]
[1,1,1,1,1,1,1,1,1,1,1,3,3,3,9,9,9];[1,1,1,1,1,1,1,1,1,1,1,3,3,3,27]
[1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,5,5,5,5];[1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,5,15]
[1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,7,13];[1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,9,11]
[1,1,1,1,1,1,1,1,1,1,1,3,3,5,7,7,11];[1,1,1,1,1,1,1,1,1,1,1,3,3,5,7,9,9]
[1,1,1,1,1,1,1,1,1,1,1,3,3,5,25];[1,1,1,1,1,1,1,1,1,1,1,3,3,7,7,7,9]
[1,1,1,1,1,1,1,1,1,1,1,3,3,7,23];[1,1,1,1,1,1,1,1,1,1,1,3,3,9,21]
[1,1,1,1,1,1,1,1,1,1,1,3,3,11,19];[1,1,1,1,1,1,1,1,1,1,1,3,3,13,17]
[1,1,1,1,1,1,1,1,1,1,1,3,3,15,15];[1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,13]
[1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,7,11];[1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,9,9]
[1,1,1,1,1,1,1,1,1,1,1,3,5,5,7,7,9];[1,1,1,1,1,1,1,1,1,1,1,3,5,5,23]
[1,1,1,1,1,1,1,1,1,1,1,3,5,7,7,7,7];[1,1,1,1,1,1,1,1,1,1,1,3,5,7,21]
[1,1,1,1,1,1,1,1,1,1,1,3,5,9,19];[1,1,1,1,1,1,1,1,1,1,1,3,5,11,17]
[1,1,1,1,1,1,1,1,1,1,1,3,5,13,15];[1,1,1,1,1,1,1,1,1,1,1,3,7,7,19]
[1,1,1,1,1,1,1,1,1,1,1,3,7,9,17];[1,1,1,1,1,1,1,1,1,1,1,3,7,11,15]
[1,1,1,1,1,1,1,1,1,1,1,3,7,13,13];[1,1,1,1,1,1,1,1,1,1,1,3,9,9,15]
[1,1,1,1,1,1,1,1,1,1,1,3,9,11,13];[1,1,1,1,1,1,1,1,1,1,1,3,11,11,11]
[1,1,1,1,1,1,1,1,1,1,1,3,33];[1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,11]
[1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,7,9];[1,1,1,1,1,1,1,1,1,1,1,5,5,5,7,7,7]
[1,1,1,1,1,1,1,1,1,1,1,5,5,5,21];[1,1,1,1,1,1,1,1,1,1,1,5,5,7,19]
[1,1,1,1,1,1,1,1,1,1,1,5,5,9,17];[1,1,1,1,1,1,1,1,1,1,1,5,5,11,15]
[1,1,1,1,1,1,1,1,1,1,1,5,5,13,13];[1,1,1,1,1,1,1,1,1,1,1,5,7,7,17]
[1,1,1,1,1,1,1,1,1,1,1,5,7,9,15];[1,1,1,1,1,1,1,1,1,1,1,5,7,11,13]
[1,1,1,1,1,1,1,1,1,1,1,5,9,9,13];[1,1,1,1,1,1,1,1,1,1,1,5,9,11,11]
[1,1,1,1,1,1,1,1,1,1,1,5,31];[1,1,1,1,1,1,1,1,1,1,1,7,7,7,15]
[1,1,1,1,1,1,1,1,1,1,1,7,7,9,13];[1,1,1,1,1,1,1,1,1,1,1,7,7,11,11]
[1,1,1,1,1,1,1,1,1,1,1,7,9,9,11];[1,1,1,1,1,1,1,1,1,1,1,7,29]
[1,1,1,1,1,1,1,1,1,1,1,9,9,9,9];[1,1,1,1,1,1,1,1,1,1,1,9,27]
[1,1,1,1,1,1,1,1,1,1,1,11,25];[1,1,1,1,1,1,1,1,1,1,1,13,23]
[1,1,1,1,1,1,1,1,1,1,1,15,21];[1,1,1,1,1,1,1,1,1,1,1,17,19]
[1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,7];[1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,5,5]
[1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,13];[1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,11]
[1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,7,9];[1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,5,5,9]
[1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,5,7,7];[1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,19]
[1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,5,5,7];[1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,17]
[1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,7,15];[1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,9,13]
[1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,11,11];[1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,5,5,5,5]
[1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,5,15];[1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,7,13]
[1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,9,11];[1,1,1,1,1,1,1,1,1,1,3,3,3,3,7,7,11]
[1,1,1,1,1,1,1,1,1,1,3,3,3,3,7,9,9];[1,1,1,1,1,1,1,1,1,1,3,3,3,3,25]
[1,1,1,1,1,1,1,1,1,1,3,3,3,5,5,5,13];[1,1,1,1,1,1,1,1,1,1,3,3,3,5,5,7,11]
[1,1,1,1,1,1,1,1,1,1,3,3,3,5,5,9,9];[1,1,1,1,1,1,1,1,1,1,3,3,3,5,7,7,9]
[1,1,1,1,1,1,1,1,1,1,3,3,3,5,23];[1,1,1,1,1,1,1,1,1,1,3,3,3,7,7,7,7]
[1,1,1,1,1,1,1,1,1,1,3,3,3,7,21];[1,1,1,1,1,1,1,1,1,1,3,3,3,9,19]
[1,1,1,1,1,1,1,1,1,1,3,3,3,11,17];[1,1,1,1,1,1,1,1,1,1,3,3,3,13,15]
[1,1,1,1,1,1,1,1,1,1,3,3,5,5,5,5,11];[1,1,1,1,1,1,1,1,1,1,3,3,5,5,5,7,9]
[1,1,1,1,1,1,1,1,1,1,3,3,5,5,7,7,7];[1,1,1,1,1,1,1,1,1,1,3,3,5,5,21]
[1,1,1,1,1,1,1,1,1,1,3,3,5,7,19];[1,1,1,1,1,1,1,1,1,1,3,3,5,9,17]
[1,1,1,1,1,1,1,1,1,1,3,3,5,11,15];[1,1,1,1,1,1,1,1,1,1,3,3,5,13,13]
[1,1,1,1,1,1,1,1,1,1,3,3,7,7,17];[1,1,1,1,1,1,1,1,1,1,3,3,7,9,15]
[1,1,1,1,1,1,1,1,1,1,3,3,7,11,13];[1,1,1,1,1,1,1,1,1,1,3,3,9,9,13]
[1,1,1,1,1,1,1,1,1,1,3,3,9,11,11];[1,1,1,1,1,1,1,1,1,1,3,3,31]
[1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,9];[1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,7,7]
[1,1,1,1,1,1,1,1,1,1,3,5,5,5,19];[1,1,1,1,1,1,1,1,1,1,3,5,5,7,17]
[1,1,1,1,1,1,1,1,1,1,3,5,5,9,15];[1,1,1,1,1,1,1,1,1,1,3,5,5,11,13]
[1,1,1,1,1,1,1,1,1,1,3,5,7,7,15];[1,1,1,1,1,1,1,1,1,1,3,5,7,9,13]
[1,1,1,1,1,1,1,1,1,1,3,5,7,11,11];[1,1,1,1,1,1,1,1,1,1,3,5,9,9,11]
[1,1,1,1,1,1,1,1,1,1,3,5,29];[1,1,1,1,1,1,1,1,1,1,3,7,7,7,13]
[1,1,1,1,1,1,1,1,1,1,3,7,7,9,11];[1,1,1,1,1,1,1,1,1,1,3,7,9,9,9]
[1,1,1,1,1,1,1,1,1,1,3,7,27];[1,1,1,1,1,1,1,1,1,1,3,9,25]
[1,1,1,1,1,1,1,1,1,1,3,11,23];[1,1,1,1,1,1,1,1,1,1,3,13,21]
[1,1,1,1,1,1,1,1,1,1,3,15,19];[1,1,1,1,1,1,1,1,1,1,3,17,17]
[1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,7];[1,1,1,1,1,1,1,1,1,1,5,5,5,5,17]
[1,1,1,1,1,1,1,1,1,1,5,5,5,7,15];[1,1,1,1,1,1,1,1,1,1,5,5,5,9,13]
[1,1,1,1,1,1,1,1,1,1,5,5,5,11,11];[1,1,1,1,1,1,1,1,1,1,5,5,7,7,13]
[1,1,1,1,1,1,1,1,1,1,5,5,7,9,11];[1,1,1,1,1,1,1,1,1,1,5,5,9,9,9]
[1,1,1,1,1,1,1,1,1,1,5,5,27];[1,1,1,1,1,1,1,1,1,1,5,7,7,7,11]
[1,1,1,1,1,1,1,1,1,1,5,7,7,9,9];[1,1,1,1,1,1,1,1,1,1,5,7,25]
[1,1,1,1,1,1,1,1,1,1,5,9,23];[1,1,1,1,1,1,1,1,1,1,5,11,21]
[1,1,1,1,1,1,1,1,1,1,5,13,19];[1,1,1,1,1,1,1,1,1,1,5,15,17]
[1,1,1,1,1,1,1,1,1,1,7,7,7,7,9];[1,1,1,1,1,1,1,1,1,1,7,7,23]
[1,1,1,1,1,1,1,1,1,1,7,9,21];[1,1,1,1,1,1,1,1,1,1,7,11,19]
[1,1,1,1,1,1,1,1,1,1,7,13,17];[1,1,1,1,1,1,1,1,1,1,7,15,15]
[1,1,1,1,1,1,1,1,1,1,9,9,19];[1,1,1,1,1,1,1,1,1,1,9,11,17]
[1,1,1,1,1,1,1,1,1,1,9,13,15];[1,1,1,1,1,1,1,1,1,1,11,11,15]
[1,1,1,1,1,1,1,1,1,1,11,13,13];[1,1,1,1,1,1,1,1,1,1,37]
[1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,5];[1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,11]
[1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,5,9];[1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,7,7]
[1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,7];[1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,17]
[1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,5,5,5,5];[1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,5,15]
[1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,7,13];[1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,9,11]
[1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,5,13];[1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,7,11]
[1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,9,9];[1,1,1,1,1,1,1,1,1,3,3,3,3,3,7,7,9]
[1,1,1,1,1,1,1,1,1,3,3,3,3,3,23];[1,1,1,1,1,1,1,1,1,3,3,3,3,5,5,5,11]
[1,1,1,1,1,1,1,1,1,3,3,3,3,5,5,7,9];[1,1,1,1,1,1,1,1,1,3,3,3,3,5,7,7,7]
[1,1,1,1,1,1,1,1,1,3,3,3,3,5,21];[1,1,1,1,1,1,1,1,1,3,3,3,3,7,19]
[1,1,1,1,1,1,1,1,1,3,3,3,3,9,17];[1,1,1,1,1,1,1,1,1,3,3,3,3,11,15]
[1,1,1,1,1,1,1,1,1,3,3,3,3,13,13];[1,1,1,1,1,1,1,1,1,3,3,3,5,5,5,5,9]
[1,1,1,1,1,1,1,1,1,3,3,3,5,5,5,7,7];[1,1,1,1,1,1,1,1,1,3,3,3,5,5,19]
[1,1,1,1,1,1,1,1,1,3,3,3,5,7,17];[1,1,1,1,1,1,1,1,1,3,3,3,5,9,15]
[1,1,1,1,1,1,1,1,1,3,3,3,5,11,13];[1,1,1,1,1,1,1,1,1,3,3,3,7,7,15]
[1,1,1,1,1,1,1,1,1,3,3,3,7,9,13];[1,1,1,1,1,1,1,1,1,3,3,3,7,11,11]
[1,1,1,1,1,1,1,1,1,3,3,3,9,9,11];[1,1,1,1,1,1,1,1,1,3,3,3,29]
[1,1,1,1,1,1,1,1,1,3,3,5,5,5,5,5,7];[1,1,1,1,1,1,1,1,1,3,3,5,5,5,17]
[1,1,1,1,1,1,1,1,1,3,3,5,5,7,15];[1,1,1,1,1,1,1,1,1,3,3,5,5,9,13]
[1,1,1,1,1,1,1,1,1,3,3,5,5,11,11];[1,1,1,1,1,1,1,1,1,3,3,5,7,7,13]
[1,1,1,1,1,1,1,1,1,3,3,5,7,9,11];[1,1,1,1,1,1,1,1,1,3,3,5,9,9,9]
[1,1,1,1,1,1,1,1,1,3,3,5,27];[1,1,1,1,1,1,1,1,1,3,3,7,7,7,11]
[1,1,1,1,1,1,1,1,1,3,3,7,7,9,9];[1,1,1,1,1,1,1,1,1,3,3,7,25]
[1,1,1,1,1,1,1,1,1,3,3,9,23];[1,1,1,1,1,1,1,1,1,3,3,11,21]
[1,1,1,1,1,1,1,1,1,3,3,13,19];[1,1,1,1,1,1,1,1,1,3,3,15,17]
[1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5];[1,1,1,1,1,1,1,1,1,3,5,5,5,5,15]
[1,1,1,1,1,1,1,1,1,3,5,5,5,7,13];[1,1,1,1,1,1,1,1,1,3,5,5,5,9,11]
[1,1,1,1,1,1,1,1,1,3,5,5,7,7,11];[1,1,1,1,1,1,1,1,1,3,5,5,7,9,9]
[1,1,1,1,1,1,1,1,1,3,5,5,25];[1,1,1,1,1,1,1,1,1,3,5,7,7,7,9]
[1,1,1,1,1,1,1,1,1,3,5,7,23];[1,1,1,1,1,1,1,1,1,3,5,9,21]
[1,1,1,1,1,1,1,1,1,3,5,11,19];[1,1,1,1,1,1,1,1,1,3,5,13,17]
[1,1,1,1,1,1,1,1,1,3,5,15,15];[1,1,1,1,1,1,1,1,1,3,7,7,7,7,7]
[1,1,1,1,1,1,1,1,1,3,7,7,21];[1,1,1,1,1,1,1,1,1,3,7,9,19]
[1,1,1,1,1,1,1,1,1,3,7,11,17];[1,1,1,1,1,1,1,1,1,3,7,13,15]
[1,1,1,1,1,1,1,1,1,3,9,9,17];[1,1,1,1,1,1,1,1,1,3,9,11,15]
[1,1,1,1,1,1,1,1,1,3,9,13,13];[1,1,1,1,1,1,1,1,1,3,11,11,13]
[1,1,1,1,1,1,1,1,1,3,35];[1,1,1,1,1,1,1,1,1,5,5,5,5,5,13]
[1,1,1,1,1,1,1,1,1,5,5,5,5,7,11];[1,1,1,1,1,1,1,1,1,5,5,5,5,9,9]
[1,1,1,1,1,1,1,1,1,5,5,5,7,7,9];[1,1,1,1,1,1,1,1,1,5,5,5,23]
[1,1,1,1,1,1,1,1,1,5,5,7,7,7,7];[1,1,1,1,1,1,1,1,1,5,5,7,21]
[1,1,1,1,1,1,1,1,1,5,5,9,19];[1,1,1,1,1,1,1,1,1,5,5,11,17]
[1,1,1,1,1,1,1,1,1,5,5,13,15];[1,1,1,1,1,1,1,1,1,5,7,7,19]
[1,1,1,1,1,1,1,1,1,5,7,9,17];[1,1,1,1,1,1,1,1,1,5,7,11,15]
[1,1,1,1,1,1,1,1,1,5,7,13,13];[1,1,1,1,1,1,1,1,1,5,9,9,15]
[1,1,1,1,1,1,1,1,1,5,9,11,13];[1,1,1,1,1,1,1,1,1,5,11,11,11]
[1,1,1,1,1,1,1,1,1,5,33];[1,1,1,1,1,1,1,1,1,7,7,7,17]
[1,1,1,1,1,1,1,1,1,7,7,9,15];[1,1,1,1,1,1,1,1,1,7,7,11,13]
[1,1,1,1,1,1,1,1,1,7,9,9,13];[1,1,1,1,1,1,1,1,1,7,9,11,11]
[1,1,1,1,1,1,1,1,1,7,31];[1,1,1,1,1,1,1,1,1,9,9,9,11]
[1,1,1,1,1,1,1,1,1,9,29];[1,1,1,1,1,1,1,1,1,11,27]
[1,1,1,1,1,1,1,1,1,13,25];[1,1,1,1,1,1,1,1,1,15,23]
[1,1,1,1,1,1,1,1,1,17,21];[1,1,1,1,1,1,1,1,1,19,19]
[1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3];[1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,9]
[1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,5,7];[1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,5,5,5]
